Indicador 1;Indicador 2;Meio;Modelo de negócio;Fonte;Tipo de Indicador;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
Acervo;Livros (exemplares);Impresso;Aquisição Perpétua;SophiA e Banco de dados Estatísticos SISBI/UFU;Qtde. Mês;356.422;356.422;356.435;356.436;356.436;356.449;356.613;357.034;357.332;357.577;357.810;358.615
Acervo;Catálogo de arte;Impresso;Aquisição Perpétua;SophiA e Banco de dados Estatísticos SISBI/UFU;Qtde. Mês;597;597;597;597;597;597;597;597;597;597;597;597
Acervo;Conjunto de peças;Físico;Aquisição Perpétua;SophiA e Banco de dados Estatísticos SISBI/UFU;Qtde. Mês;27;27;27;27;27;27;27;27;27;27;27;27
Acervo;Teses (UFU e externa);Impresso;Aquisição Perpétua;SophiA e Banco de dados Estatísticos SISBI/UFU;Qtde. Mês;9.476;9.476;9.476;9.476;9.476;9.476;9.476;9.476;9.476;9.476;9.476;9.476
Acervo;Normas técnicas;Impresso;Aquisição Perpétua;SophiA e Banco de dados Estatísticos SISBI/UFU;Qtde. Mês;1.725;1.725;1.725;1.725;1.725;1.725;1.725;1.725;1.725;1.725;1.725;1.725
Acervo;Partituras;Impresso;Aquisição Perpétua;SophiA e Banco de dados Estatísticos SISBI/UFU;Qtde. Mês;6.984;6.984;6.984;6.984;6.984;6.984;6.984;6.984;6.984;6.984;6.984;6.984
Acervo;Periódicos;Impresso;Aquisição Perpétua;SophiA e Banco de dados Estatísticos SISBI/UFU;Qtde. Mês;5.642;5.642;5.642;5.642;5.642;5.642;5.642;5.642;5.642;5.642;5.642;5.642
Acervo;Folhetos;Impresso;Aquisição Perpétua;SophiA e Banco de dados Estatísticos SISBI/UFU;Qtde. Mês;189;189;189;189;189;189;189;189;189;189;189;189
Acervo;Textos  de teatro;Impresso;Aquisição Perpétua;SophiA e Banco de dados Estatísticos SISBI/UFU;Qtde. Mês;902;902;902;902;902;902;902;902;902;902;902;902
Acervo;Gravação de som musical (inclui CDs sonoro, fitas cassete, DVDs);Eletrônico;Aquisição Perpétua;SophiA e Banco de dados Estatísticos SISBI/UFU;Qtde. Mês;1.058;1.058;1.058;1.058;1.058;1.058;1.058;1.058;1.058;1.058;1.058;1.058
Acervo;Livro eletrônico - CD;Eletrônico;Aquisição Perpétua;SophiA e Banco de dados Estatísticos SISBI/UFU;Qtde. Mês;62;62;62;62;62;62;62;62;62;62;62;62
Acervo;Recurso eletrônico – CD-ROM;Eletrônico;Aquisição Perpétua;SophiA e Banco de dados Estatísticos SISBI/UFU;Qtde. Mês;39;39;39;39;39;39;39;39;39;39;39;39
Acervo;Gravação de vídeo (inclui DVDs, fitas de vídeo);Eletrônico;Aquisição Perpétua;SophiA e Banco de dados Estatísticos SISBI/UFU;Qtde. Mês;2.181;2.181;2.181;2.181;2.181;2.181;2.181;2.181;2.181;2.181;2.181;2.181
Acervo;E-books (Cambridge, IEEE);Digital;Aquisição Perpétua;SophiA;Qtde. Mês;712;712;712;712;712;712;712;712;712;712;712;712
Acervo;Peças teatrais (BDTeatro);Digital;Aquisição Perpétua;Biblioteca Digital de Peças Teatrais;Qtde. Mês;825;825;825;825;825;825;825;825;825;825;825;825
Acervo;E-books (Ebsco);Digital;Assinatura;EDS/EBSCO;Qtde. Mês;180.000;180.000;180.000;180.000;180.000;180.000;180.000;180.000;180.000;180.000;180.000;206.000
Acervo;E-books (RT Online);Digital;Assinatura;RT Online;Qtde. Mês;0;0;0;0;0;0;0;0;0;0;27;27
Acervo;Audiobooks (Naxos);Digital;Assinatura;Naxos;Qtde. Mês;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;1.460
;Partituras (Sheet Music Naxos);Digital;Assinatura;Naxos;Qtde. Mês;0;0;0;0;0;0;0;0;0;0;0;40.000
Acervo;Periódicos (Jstor);Digital;Assinatura;Jstor;Qtde. Mês;133;133;133;133;133;133;133;133;133;133;133;133
